Year,RPP_Mass,RPP_MaineCT,EDUC_Mass,EDUC_MaineCT
1990,3001,4408,80,79
1991,3126,4038,83.7,82.8
1992,2634,3972.5,,
1993,2799,3935,84.6,84.8
1994,2951,3831.5,85.6,85.35
1995,3150,3912,85.8,85.9
1996,3269,3866.5,84.9,85
1997,3462,3790.5,85.9,84.9
1998,3731,3870.5,85.6,85.2
1999,4044,4176,85.1,86.3
2000,4387,4347.5,85.1,88.75
2001,4533,4356,85.7,86.45
2002,4886,4732.5,86.5,87.7
2003,,,87.1,87.05
2004,,,86.9,87.95
2005,,,87.5,88.6
2006,,,89.9,88.85
