Year,Massachusetts,Maine+CT,Massachusetts (No Treatment)
1990,3001,4408,
1991,3126,4038,
1992,2634,3972.5,
1993,2799,3935,1941
1994,2951,3831.5,2093
1995,3150,3912,2292
1996,3269,3866.5,2411
1997,3462,3790.5,2604
1998,3731,3870.5,2873
1999,4044,4176,3186
2000,4387,4347.5,3529
2001,4533,4356,3675
2002,4886,4732.5,4028
