,Country,PrimaryEducation,SecondaryEducation,TertiaryEducation,Spending
116,Maldives,95.4151,N/A,31.22359085,11.35381031
117,Mali,61.27746,29.34611,N/A,16.53433037
118,Malta,99.53764,92.96077,54.25991821,13.36942005
119,Marshall Islands,N/A,N/A,N/A,24.84000015
120,Mauritania,77.82357,28.18691,4.999120235,
121,Mauritius,95.80694,84.54626,40.59603882,20.35720062
122,Mexico,95.30064,81.15596,40.22895813,17.57729912
123,"Micronesia, Fed. Sts.",,N/A,N/A,19.14845085
124,Moldova,86.50643,77.85475,54.73007965,18.43283081
125,Monaco,N/A,N/A,N/A,6.980629921
126,Mongolia,97.86929,N/A,64.16362,12.64562035
127,Montenegro,95.71483,89.33592,58.18561935,
128,Morocco,96.89422,63.46699,33.78467941,13.66192913
129,Mozambique,89.87354,N/A,7.122710228,18.94169998
130,Myanmar,97.66256,59.62371,N/A,9.927680016
131,Namibia,97.34142,N/A,22.88816071,24.6740303
132,Nauru,N/A,N/A,N/A,12.11255264
133,Nepal,96.33409,57.51369,11.59123039,17.09638977
134,Netherlands,98.64765,93.16439,84.98045349,12.42325974
135,New Caledonia,N/A,N/A,N/A,
136,New Zealand,99.11677,96.86035,82.03321838,16.64263916
137,Nicaragua,N/A,N/A,N/A,22.43330002
138,Niger,65.12458,20.06691,3.732899904,13.21516037
139,Nigeria,N/A,N/A,N/A,6.120105267
140,Northern Mariana Islands,N/A,N/A,N/A,
141,Norway,99.88251,95.60786,81.99234772,15.93850994
142,Oman,93.28335,94.0779,38.1280098,13.55008984
143,Pakistan,64.89623,35.42111,9.348919868,14.54477978
144,Palau,N/A,N/A,N/A,15.65999985
145,West Bank and Gaza,95.26274,87.20079,43.67197037,16.07543945
146,Panama,86.23979,63.79138,N/A,8.681870461
147,Papua New Guinea,N/A,N/A,N/A,10.69820023
148,Paraguay,N/A,N/A,N/A,11.50658989
149,Peru,94.91894,85.58522,70.73786163,18.23591995
150,Philippines,93.7756,N/A,35.47546005,17.17048073
151,Poland,95.78475,94.08406,67.82743835,11.04498959
152,Portugal,97.56411,94.66479,63.93581009,11.05543041
153,Puerto Rico,N/A,N/A,N/A,17.5741787
154,Qatar,93.54716,N/A,16.62733078,8.560850143
155,Romania,82.22835,82.84805,49.38187027,10.05265045
156,Russia,95.09612,90.67886,81.90930939,13.46508026
157,Rwanda,96.9315,N/A,7.373929977,11.07960987
158,St. Kitts and Nevis,N/A,N/A,N/A,12.84000015
159,St. Lucia,94.86626,80.81903,19.87520981,14.09974003
160,St. Vincent and the Grenadines,93.58439,90.47261,N/A,18.97827911
161,Samoa,94.46785,N/A,13.68476009,13.21240044
162,San Marino,N/A,N/A,N/A,13.10361004
163,Sao Tome and Principe,93.0763,N/A,N/A,18.39999962
164,Saudi Arabia,95.18623,90.55695,69.69831848,22.25806427
165,Senegal,75.3821,37.66861,11.51301003,20.5892601
166,Serbia,95.17741,92.45639,66.48674011,9.25646019
167,Seychelles,92.02707,79.64231,19.72287941,10.25983047
168,Sierra Leone,N/A,38.33144,N/A,19.89410019
169,Singapore,99.66959,99.78462,84.79290771,20.06048012
170,Slovakia,83.09318,84.75751,46.63439178,9.529709816
171,Slovenia,98.26288,95.68577,78.58899689,10.84708023
172,Solomon Is.,69.52108,N/A,N/A,30.10352135
173,Somalia,N/A,N/A,N/A,1.70468998
174,South Africa,87.01258,71.92661,22.36602974,18.71928978
175,S. Sudan,N/A,N/A,N/A,1.073699951
176,Spain,97.27171,96.87779,88.85301208,10.21348953
177,Sri Lanka,99.09921,89.04229,18.9611702,
178,Sudan,60.00534,N/A,N/A,
179,Suriname,86.07316,N/A,N/A,17.32357979
180,eSwatini,82.52357,N/A,N/A,18.66628075
181,Sweden,99.18177,N/A,66.9882431,15.68610001
182,Switzerland,93.19583,85.32946,59.56298828,15.46105003
183,Syria,N/A,N/A,N/A,
184,Tajikistan,98.28703,N/A,31.25655937,18.14114952
185,Tanzania,83.58042,24.55251,N/A,24.39653969
186,Thailand,N/A,N/A,N/A,15.83858109
187,Timor-Leste,93.70257,60.61502,N/A,8.205820084
188,Togo,90.91577,41.01339,12.98993969,23.14003944
189,Tonga,N/A,N/A,N/A,
190,Trinidad and Tobago,N/A,N/A,N/A,9.886910439
191,Tunisia,N/A,N/A,32.14937973,
192,Turkey,87.90006,87.22819,N/A,
193,Turkmenistan,N/A,N/A,N/A,
194,Turks and Caicos Islands,N/A,N/A,N/A,12.04469013
195,Tuvalu,N/A,N/A,N/A,
196,Uganda,N/A,N/A,N/A,12.19733047
197,Ukraine,N/A,N/A,N/A,13.01910019
198,United Arab Emirates,95.02753,92.79992,N/A,
199,United Kingdom,99.49182,97.13247,59.99557114,13.76128006
200,United States of America,94.62633,92.45022,88.16738892,13.8646698
201,Uruguay,99.3775,88.21273,63.12577057,14.87796021
202,Uzbekistan,96.26941,90.85635,9.181099892,22.51573944
203,Vanuatu,N/A,N/A,N/A,12.20798016
204,Venezuela,87.39174,73.24477,N/A,23.8731308
205,Vietnam,N/A,N/A,N/A,15.09342003
206,British Virgin Islands,N/A,68.10811,N/A,15.00934982
207,Virgin Islands (U.S.),N/A,N/A,N/A,
208,Yemen,N/A,N/A,N/A,
209,Zambia,83.16745,N/A,N/A,14.93433952
210,Zimbabwe,N/A,N/A,8.87594986,20.87420082
